sequence	source	cycle	name	log_loss	cumulative_best_log_loss	accuracy	brier	ece	seconds	status	description
1	experiment		autoresearch-inspired	0.884289	0.884289	0.595241	0.173182	0.014241	5.0	keep	calibrated candidates and fixed experiment logging
2	experiment		data-refresh	0.885234	0.884289	0.595120	0.173366	0.012216	5.6	keep	updated source data through 2026-06-11 and retrained
3	autoresearch	1	hgb_iter80_lr0.03_l20	0.884156	0.884156	0.594310	0.173125	0.010107	1.3	would_promote	HistGradientBoosting max_iter=80 learning_rate=0.03 l2=0.0
4	autoresearch	1	hgb_iter80_lr0.03_l20	0.884156	0.884156	0.594310	0.173125	0.010107	1.3	promote	HistGradientBoosting max_iter=80 learning_rate=0.03 l2=0.0
5	autoresearch	1	hgb_iter80_lr0.03_l20	0.884156	0.884156	0.594310	0.173125	0.010107	1.4	reject	HistGradientBoosting max_iter=80 learning_rate=0.03 l2=0.0
6	autoresearch	1	hgb_iter80_lr0.03_l20.02	0.884811	0.884156	0.593601	0.173251	0.011538	1.3	reject	HistGradientBoosting max_iter=80 learning_rate=0.03 l2=0.02
7	autoresearch	1	hgb_iter80_lr0.03_l20.08	0.884465	0.884156	0.594209	0.173193	0.010633	1.3	reject	HistGradientBoosting max_iter=80 learning_rate=0.03 l2=0.08
8	autoresearch	1	hgb_iter80_lr0.045_l20	0.884397	0.884156	0.594917	0.173229	0.012069	1.1	reject	HistGradientBoosting max_iter=80 learning_rate=0.045 l2=0.0
9	autoresearch	2	hgb_iter80_lr0.045_l20.02	0.885234	0.884156	0.595120	0.173366	0.012216	1.3	reject	HistGradientBoosting max_iter=80 learning_rate=0.045 l2=0.02
10	autoresearch	2	hgb_iter80_lr0.045_l20.08	0.884677	0.884156	0.594108	0.173219	0.012907	1.1	reject	HistGradientBoosting max_iter=80 learning_rate=0.045 l2=0.08
11	autoresearch	2	hgb_iter80_lr0.06_l20	0.884432	0.884156	0.594614	0.173183	0.012050	0.8	reject	HistGradientBoosting max_iter=80 learning_rate=0.06 l2=0.0
12	autoresearch	2	hgb_iter80_lr0.06_l20.02	0.884675	0.884156	0.593703	0.173272	0.012953	0.8	reject	HistGradientBoosting max_iter=80 learning_rate=0.06 l2=0.02
13	autoresearch	3	hgb_iter80_lr0.06_l20.08	0.885475	0.884156	0.595221	0.173393	0.011653	1.0	reject	HistGradientBoosting max_iter=80 learning_rate=0.06 l2=0.08
14	autoresearch	3	hgb_iter80_lr0.08_l20	0.885073	0.884156	0.594614	0.173323	0.012759	0.6	reject	HistGradientBoosting max_iter=80 learning_rate=0.08 l2=0.0
15	autoresearch	3	hgb_iter80_lr0.08_l20.02	0.885456	0.884156	0.592994	0.173426	0.014724	0.7	reject	HistGradientBoosting max_iter=80 learning_rate=0.08 l2=0.02
16	autoresearch	3	hgb_iter80_lr0.08_l20.08	0.885378	0.884156	0.595221	0.173354	0.011579	0.6	reject	HistGradientBoosting max_iter=80 learning_rate=0.08 l2=0.08
17	autoresearch	4	hgb_iter120_lr0.03_l20	0.884481	0.884156	0.595829	0.173181	0.009913	1.6	reject	HistGradientBoosting max_iter=120 learning_rate=0.03 l2=0.0
18	autoresearch	4	hgb_iter120_lr0.03_l20.02	0.884927	0.884156	0.593905	0.173272	0.012467	1.4	reject	HistGradientBoosting max_iter=120 learning_rate=0.03 l2=0.02
19	autoresearch	4	hgb_iter120_lr0.03_l20.08	0.884556	0.884156	0.594816	0.173211	0.010863	1.4	reject	HistGradientBoosting max_iter=120 learning_rate=0.03 l2=0.08
